ind;bloc;focal;treatment;hybridity;linetype;focalweight;mateweight;layingdays;selfedbeforepairingF;clutchesF;eggsF;viableeggsF;quicomptelesoeufs;babiesF;unhatchedF;whocountsbabiesF;qualityF;correctedeggsf;layingdaysA;clutchesA;eggsA;viableeggsA;whocountseggsA;PbabiesA;AbabiesA;PunhachedA;AunhatchedA;unknownunhatchedA;whocountsbabiesA;correctedeggsA
1;A;P1;HT;H;T;55;51;4;no;5;101;101;EC;72;30;PD;0;102;4;5;95;95;EC;26;11;35;17;2;PD;95
2;A;P2;HM;H;M;34;69;4;no;0;0;0;EC;0;0;PD;0;0;4;4;80;80;EC;18;8;32;18;7;PD;83
3;A;P3;T1;NH;T;70;52;4;no;3;77;77;EC;65;5;PD;0;77;4;4;49;49;EC;1;1;14;10;0;PD;49
4;A;P4;F1;NH;F;88;30;4;no;7;137;137;EC;0;38;PD;2;137;4;4;52;52;EC;0;16;0;34;0;PD;52
5;A;P5;HF;H;F;62;43;4;no;5;105;105;EC;1;29;PD;2;105;4;6;73;73;EC;1;33;0;33;1;PD;73
6;A;P6;F2;NH;F;70;30;4;no;4;94;94;EC;12;27;PD;2;94;4;4;31;31;EC;0;11;0;11;1;PD;31
7;A;P7;T2;NH;T;59;45;4;no;4;68;68;EC;0;7;PD;2;68;4;6;72;72;EC;5;10;29;18;2;PD;72
8;A;P8;M1;NH;M;79;29;4;no;5;107;107;EC;0;2;PD;2;107;4;4;41;41;EC;3;7;0;4;12;PD;41
9;A;P9;M2;NH;M;86;52;4;no;8;147;147;EC;0;30;PD;2;147;4;5;70;70;EC;1;5;14;34;4;PD;70
10;A;P10;HT;H;T;42;48;4;no;5;71;71;EC;0;6;PD;2;71;4;8;69;69;EC;3;4;26;31;2;PD;69
11;A;P11;HM;H;M;89;61;4;no;4;76;76;EC;0;31;PD;2;76;4;4;68;45;EC;33;10;5;5;0;PD;53
12;A;P12;T1;NH;T;84;47;4;no;5;97;97;EC;4;1;PD;2;97;4;6;82;82;EC;29;12;20;6;13;PD;82
13;A;P13;F1;NH;F;83;27;4;no;10;161;161;EC;52;26;PD;1;161;4;3;37;37;EC;0;31;0;1;0;PD;37
14;A;P14;HF;H;F;56;43;4;no;4;67;67;EC;6;6;PD;2;67;4;5;62;62;EC;36;10;11;3;0;PD;62
15;A;P15;F2;NH;F;89;34;4;no;3;76;76;EC;0;12;PD;2;76;4;5;57;57;EC;0;48;0;0;0;PD;57
16;A;P16;T2;NH;T;75;53;4;no;9;117;117;EC;2;20;PD;2;117;4;4;51;51;EC;17;13;0;5;2;PD;51
17;A;P17;M1;NH;M;102;45;4;no;3;75;75;EC;54;0;PD;0;75;4;6;73;73;EC;63;0;0;0;0;PD;73
18;A;P18;M2;NH;M;81;49;4;no;7;135;135;EC;2;8;PD;2;135;4;5;72;72;EC;22;31;2;3;0;PD;72
19;A;P19;HT;H;T;44;61;4;no;2;35;35;EC;1;2;PD;0;35;4;4;73;73;EC;40;11;0;0;0;PD;73
20;A;P20;HM;H;M;90;56;4;yes;6;82;82;EC;0;35;PD;0;82;4;6;77;77;EC;18;12;2;2;1;PD;77
21;A;P21;T1;NH;T;75;55;4;no;6;114;114;EC;37;29;PD;1;114;4;5;96;96;EC;49;16;29;12;0;PD;106
22;A;P22;F1;NH;F;99;47;4;no;9;103;103;EC;2;59;PD;2;103;4;5;69;69;EC;0;41;0;14;0;PD;69
23;A;P23;HF;H;F;52;42;4;no;8;149;149;EC;51;16;PD;1;149;4;7;63;63;EC;0;25;0;36;0;PD;63
24;A;P24;F2;NH;F;70;62;4;no;4;83;83;EC;2;14;PD;2;83;4;6;71;71;EC;4;58;1;8;0;PD;71
25;A;P25;T2;NH;T;65;49;4;no;7;106;106;EC;2;0;PD;2;106;4;6;69;69;EC;0;36;0;25;4;PD;69
26;A;P26;M1;NH;M;120;33;4;no;6;110;110;EC;21;56;PD;1;110;4;4;43;43;EC;0;36;0;2;1;PD;43
27;A;P27;M2;NH;M;52;50;4;no;5;73;73;EC;21;14;PD;1;73;4;6;67;67;EC;0;56;0;8;0;PD;67
28;A;P28;HT;H;T;64;51;4;no;6;89;89;EC;47;10;PD;1;89;4;4;52;52;EC;40;7;9;1;1;PD;58
29;A;P29;HM;H;M;84;30;4;no;6;141;141;EC;40;14;PD;1;141;4;1;9;9;EC;4;0;4;1;0;PD;9
30;A;P30;T1;NH;T;82;52;4;no;6;109;109;EC;110;3;PD;0;113;4;5;75;75;EC;41;9;7;4;0;PD;75
31;A;P31;F1;NH;F;78;48;4;no;6;109;109;EC;6;41;PD;1;109;4;4;40;40;EC;0;3;0;18;5;PD;40
32;A;P32;HF;H;F;37;36;4;no;3;50;50;EC;1;5;PD;2;50;4;4;40;40;EC;8;2;20;4;1;PD;40
33;A;P33;F2;NH;F;51;45;4;yes;9;72;72;EC;59;0;PD;0;72;4;6;66;66;EC;4;0;28;21;0;PD;66
34;A;P34;T2;NH;T;56;52;4;no;7;94;67;EC;3;13;PD;2;67;4;5;72;72;EC;0;19;0;8;0;PD;72
35;A;P35;M1;NH;M;127;67;4;no;5;94;94;EC;8;2;PD;2;94;4;4;71;71;EC;0;52;0;1;0;PD;71
36;A;P36;M2;NH;M;79;63;4;no;5;150;150;EC;28;15;PD;1;150;4;5;91;91;EC;18;47;4;13;1;PD;91
37;A;P37;HT;H;T;77;53;4;no;8;129;129;EC;82;10;PD;0;129;4;5;57;57;EC;13;1;24;5;2;TJ;57
38;A;P38;HM;H;M;66;52;4;no;4;129;129;EC;0;52;PD;2;129;4;3;72;72;EC;40;0;0;0;0;TJ;72
39;A;P39;T1;NH;T;59;29;4;no;4;66;66;EC;50;14;PD;0;66;4;3;27;27;EC;6;2;1;4;2;TJ;27
40;A;P40;F1;NH;F;79;37;4;no;7;183;183;EC;0;104;PD;1;183;4;5;43;43;EC;0;34;0;2;3;TJ;43
41;A;P41;HF;H;F;70;31;4;no;2;68;68;EC;0;1;PD;2;68;4;3;28;28;EC;0;10;0;10;5;TJ;28
42;A;P42;F2;NH;F;60;34;4;no;3;65;65;EC;38;6;PD;0;65;4;4;53;53;EC;1;0;31;0;20;TJ;53
43;A;P43;T2;NH;T;82;55;4;no;5;79;79;EC;33;56;PD;0;89;4;7;72;72;EC;8;7;16;22;18;TJ;72
44;A;P44;M1;NH;M;123;61;4;no;8;129;129;EC;80;34;PD;0;129;4;6;85;85;EC;19;8;18;8;16;TJ;85
45;A;P45;M2;NH;M;73;42;4;no;5;109;109;EC;90;1;PD;0;109;4;4;44;44;EC;0;0;31;11;0;TJ;44
46;A;P46;HT;H;T;34;55;4;no;0;0;0;EC;0;0;PD;0;0;4;6;69;69;EC;19;22;7;5;9;TJ;69
47;A;P47;HM;H;M;77;54;4;no;3;100;100;EC;22;72;PD;0;100;4;2;27;27;EC;14;1;0;0;2;TJ;27
48;A;P48;T1;NH;T;57;49;4;no;4;46;46;EC;32;10;PD;0;46;4;5;44;44;EC;31;7;0;1;2;TJ;44
49;A;P49;F1;NH;F;68;56;4;no;6;115;115;EC;61;12;PD;0;115;4;3;57;57;EC;2;39;1;14;0;TJ;57
50;A;P50;HF;H;F;56;51;4;no;5;87;87;AS;2;23;PD;0;87;4;5;61;61;AS;5;16;4;34;0;PD;61
51;A;P51;F2;NH;F;54;48;4;no;4;53;53;AS;34;11;PD;0;53;4;6;68;68;AS;0;23;0;35;0;PD;68
52;A;P52;T2;NH;T;76;36;4;no;2;55;55;AS;27;21;PD;0;55;4;3;40;40;AS;4;1;13;13;7;PD;40
53;A;P53;M1;NH;M;122;56;4;no;6;128;128;AS;80;18;PD;0;128;4;3;42;29;AS;4;10;3;13;13;PD;43
54;A;P54;M2;NH;M;78;37;4;no;2;49;49;AS;27;10;PD;0;49;4;6;49;49;AS;2;18;0;26;1;PD;49
55;A;P55;HT;H;T;58;52;4;no;5;100;100;AS;91;3;PD;0;100;4;5;42;42;AS;4;12;0;10;6;PD;42
56;A;P56;HM;H;M;64;45;4;no;3;88;88;AS;34;40;PD;0;88;4;2;9;9;AS;4;3;0;1;1;PD;9
57;A;P57;T1;NH;T;59;67;4;no;6;120;120;AS;91;25;PD;0;120;4;4;41;41;AS;1;1;1;26;1;PD;41
58;A;P58;F1;NH;F;78;48;4;no;7;99;99;AS;74;5;PD;0;99;4;2;5;5;AS;0;1;0;4;0;PD;5
59;A;P59;HF;H;F;51;44;4;no;7;90;90;AS;41;34;PD;0;90;4;5;68;68;AS;14;13;3;20;3;PD;68
60;A;P60;F2;NH;F;76;65;4;no;4;93;93;AS;71;5;PD;0;93;4;7;98;98;AS;1;85;0;5;0;PD;98
61;A;P61;T2;NH;T;65;41;4;no;6;159;159;AS;11;145;PD;0;159;4;4;39;39;AS;9;12;2;7;0;PD;39
62;A;P62;M1;NH;M;111;73;4;no;5;142;142;AS;43;79;PD;0;142;4;5;75;75;AS;7;0;37;22;5;PD;75
63;A;P63;M2;NH;M;57;46;4;no;4;79;79;AS;19;19;PD;0;79;4;5;64;64;AS;8;5;27;4;0;PD;64
64;A;P64;HT;H;T;31;39;4;no;0;0;0;AS;0;0;PD;0;0;4;5;54;54;PD;29;0;10;5;2;PD;54
65;A;P65;HM;H;M;104;34;4;no;4;94;94;AS;48;10;PD;0;94;4;6;58;58;PD;12;7;12;13;0;PD;58
66;A;P66;T1;NH;T;79;48;4;no;6;97;71;AS;38;26;PD;0;71;4;7;76;76;PD;17;6;11;12;0;PD;76
67;A;P67;F1;NH;F;77;43;4;no;0;0;0;AS;0;0;PD;0;0;4;5;61;61;PD;3;18;3;16;10;PD;61
68;A;P68;HF;H;F;73;42;4;no;5;90;90;AS;46;6;PD;1;90;4;4;67;67;PD;12;8;10;28;3;PD;67
69;A;P69;F2;NH;F;61;40;4;no;5;61;61;AS;18;20;PD;0;61;4;5;43;43;PD;0;12;0;25;0;PD;43
70;A;P70;T2;NH;T;71;39;4;no;5;121;121;AS;1;118;PD;0;121;4;4;54;42;PD;10;1;26;4;2;PD;43
71;A;P71;M1;NH;M;130;46;4;no;5;110;110;AS;66;25;PD;0;110;4;4;48;48;PD;7;17;7;12;2;TJ;48
72;A;P72;M2;NH;M;75;54;4;no;4;87;87;AS;42;4;PD;1;87;4;7;86;86;PD;0;7;0;52;3;TJ;86
73;A;P73;HT;H;T;71;29;4;no;6;139;139;AS;95;35;PD;0;139;4;6;46;46;PD;18;24;0;3;0;TJ;46
74;A;P74;HM;H;M;45;50;4;no;3;41;41;AS;15;26;PD;0;41;4;4;59;59;PD;0;0;28;1;10;TJ;59
75;A;P75;T1;NH;T;99;56;4;no;5;82;82;AS;36;29;PD;0;82;4;0;0;0;PD;0;0;0;0;0;TJ;0
76;A;P76;F1;NH;F;104;67;4;no;10;148;148;AS;79;51;PD;0;148;4;6;111;111;PD;0;67;0;33;2;TJ;111
77;A;P77;HF;H;F;70;57;4;no;4;71;71;AS;33;33;PD;0;71;4;4;62;62;PD;0;3;0;51;3;TJ;62
78;A;P78;F2;NH;F;41;51;4;no;3;32;32;AS;27;0;PD;0;32;4;6;63;63;AS;0;7;0;55;0;TJ;63
79;A;P79;T2;NH;T;66;70;4;no;9;91;91;AS;19;64;PD;0;91;4;6;81;81;AS;21;16;15;24;4;TJ;81
80;A;P80;M1;NH;M;110;35;4;no;5;129;129;AS;76;41;PD;0;129;4;5;49;49;AS;9;4;13;5;0;TJ;49
81;A;P81;M2;NH;M;37;49;4;no;3;60;60;AS;21;39;PD;0;60;4;4;66;66;AS;0;20;0;25;18;TJ;66
82;A;P82;HT;H;T;33;23;4;no;3;39;39;AS;36;1;PD;0;39;4;4;44;44;AS;11;10;3;5;2;TJ;44
83;A;P83;HM;H;M;65;40;4;no;2;29;29;AS;2;25;PD;0;29;4;4;39;39;AS;18;0;10;0;11;TJ;39
84;A;P84;T1;NH;T;64;53;4;no;4;58;58;AS;45;8;PD;0;58;4;4;67;67;AS;7;7;15;21;5;TJ;67
85;A;P85;F1;NH;F;91;36;4;yes;4;10;10;AS;0;7;PD;0;10;4;5;57;41;AS;4;1;3;28;1;EC;41
86;A;P86;HF;H;F;48;53;4;no;4;87;87;AS;42;33;PD;0;87;4;3;46;46;AS;10;5;8;6;1;EC;46
87;A;P87;F2;NH;F;70;50;4;no;3;52;52;AS;25;10;PD;0;52;4;5;56;56;AS;6;0;22;16;11;EC;56
88;A;P88;T2;NH;T;55;48;4;no;3;104;104;AS;1;99;PD;0;104;4;7;76;76;AS;15;12;9;17;13;EC;76
89;A;P89;M1;NH;M;97;52;4;no;5;94;94;AS;49;31;PD;0;94;4;5;59;59;AS;10;8;6;30;5;EC;59
90;A;P90;M2;NH;M;53;55;4;no;2;36;36;AS;27;4;PD;0;36;4;7;76;76;AS;15;20;11;7;3;EC;76
91;A;P91;HT;H;T;52;42;4;no;5;82;82;AS;29;33;PD;0;82;4;4;58;58;AS;13;21;3;9;4;EC;58
92;A;P92;HM;H;M;81;48;4;no;5;117;117;AS;31;79;PD;0;117;4;3;53;53;AS;0;5;4;16;16;EC;53
93;A;P93;T1;NH;T;76;35;4;no;4;92;92;AS;31;13;PD;0;92;4;3;53;53;AS;22;21;2;1;2;EC;53
94;A;P94;F1;NH;F;72;47;4;no;8;143;143;AS;26;102;PD;0;143;4;7;61;61;AS;0;8;0;19;19;EC;61
95;A;P95;HF;H;F;72;57;4;no;6;120;120;AS;40;68;PD;0;120;4;9;99;99;AS;0;33;0;62;0;EC;99
96;A;P96;F2;NH;F;51;43;4;no;3;89;89;AS;19;51;PD;0;89;4;5;51;51;AS;0;0;0;31;12;EC;51
97;A;P97;T2;NH;T;81;87;4;no;5;122;104;AS;28;59;PD;0;104;4;3;44;44;AS;20;3;11;0;0;EC;44
98;A;P98;M1;NH;M;109;53;4;no;3;96;96;AS;13;80;PD;0;96;4;3;44;44;AS;0;0;35;0;6;EC;44
99;A;P99;M2;NH;M;103;39;6;no;5;152;152;SM;32;109;PD;0;152;4;2;19;19;AS;0;17;0;0;0;SM;19
100;A;P100;HT;H;T;48;60;3;no;4;73;73;SM;28;1;PD;1;73;4;3;63;63;AS;19;15;3;0;16;SM;63
101;A;P101;HM;H;M;83;53;3;no;3;102;102;SM;21;66;PD;1;102;4;4;60;60;AS;8;5;31;11;0;SM;60
102;A;P102;T1;NH;T;59;49;4;no;5;77;49;SM;35;11;PD;0;49;4;5;55;55;AS;17;8;10;2;2;SM;55
103;A;P103;F1;NH;F;63;41;4;yes;7;115;115;SM;90;9;PD;0;115;4;4;55;55;AS;10;16;0;0;10;SM;55
104;A;P104;HF;H;F;48;56;4;no;4;73;73;SM;26;42;PD;0;73;4;2;19;19;AS;0;5;0;12;0;SM;19
105;A;P105;F2;NH;F;66;64;4;no;4;101;101;SM;67;15;PD;0;101;4;6;107;107;AS;0;43;0;31;0;SM;107
106;A;P106;T2;NH;T;74;40;4;no;1;2;2;SM;0;2;PD;0;2;4;3;8;8;AS;0;3;0;4;0;SM;8
107;A;P107;M1;NH;M;88;57;4;no;4;102;102;SM;68;21;PD;0;102;4;5;61;61;AS;25;6;9;4;0;SM;61
108;A;P108;M2;NH;M;90;45;4;no;4;123;123;SM;15;97;PD;0;123;4;6;57;57;AS;0;7;2;32;15;SM;57
109;A;P109;HT;H;T;75;38;4;no;4;88;88;SM;23;0;PD;0;88;4;2;25;25;AS;2;1;4;17;0;SM;25
110;A;P110;HM;H;M;113;65;4;no;3;162;162;SM;13;88;PD;0;162;4;4;68;68;AS;2;25;2;34;0;SM;68
111;A;P111;T1;NH;T;49;55;4;no;3;57;57;SM;0;0;PD;2;57;4;3;15;15;AS;0;0;4;1;10;SM;15
112;A;P112;F1;NH;F;57;54;4;yes;6;57;57;SM;7;3;PD;1;57;4;4;73;73;AS;1;21;0;25;25;SM;73
113;A;P113;HF;H;F;64;51;4;yes;7;74;74;SM;55;5;PD;0;74;4;5;63;63;AS;3;11;1;34;0;SM;63
114;A;P114;F2;NH;F;83;45;4;no;9;110;110;SM;12;21;PD;1;110;4;3;47;47;AS;0;11;0;35;0;SM;47
115;A;P115;T2;NH;T;56;62;4;no;7;107;107;SM;43;46;PD;0;107;4;7;92;92;AS;47;9;3;1;0;SM;92
116;A;P116;M1;NH;M;97;52;4;no;6;190;190;SM;122;25;PD;0;190;4;6;63;63;AS;25;10;9;2;6;SM;63
117;A;P117;M2;NH;M;;;;;;;;;;;;;;0;;;;;;;;;;;
118;A;P118;HT;H;T;71;35;4;no;8;136;136;SM;122;3;PD;0;136;4;6;58;58;AS;21;7;11;0;17;SM;58
119;A;P119;HM;H;M;77;58;4;no;6;99;99;SM;70;2;PD;0;99;4;5;52;52;AS;11;8;12;18;0;SM;52
120;A;P120;T1;NH;T;52;43;4;no;8;106;106;SM;47;35;PD;0;106;4;4;63;63;AS;11;9;28;15;0;SM;63
121;A;P121;F1;NH;F;62;49;4;no;10;121;121;SM;1;35;PD;2;121;4;5;74;74;AS;11;16;10;34;2;SM;74
122;A;P122;HF;H;F;92;40;4;no;4;64;64;SM;55;3;PD;0;64;4;2;15;15;AS;0;0;10;2;3;SM;15
123;A;P123;F2;NH;F;74;48;4;no;6;185;170;SM;127;27;PD;0;170;4;4;44;44;AS;0;0;0;33;11;SM;44
124;A;P124;T2;NH;T;99;58;4;no;6;108;108;SM;106;2;PD;0;108;4;5;42;42;AS;0;13;0;14;11;SM;42
125;A;P125;M1;NH;M;110;65;4;no;4;72;72;SM;57;2;PD;0;72;4;5;79;79;AS;8;13;9;25;0;SM;79
126;A;P126;M2;NH;M;104;51;4;no;30;85;85;SM;75;4;PD;0;85;4;5;74;74;AS;0;19;0;25;4;SM;74
127;A;P127;HT;H;T;77;43;4;no;1;19;19;SM;18;2;PD;0;20;4;4;42;42;AS;16;15;0;2;3;SM;42
128;A;P128;HM;H;M;96;62;4;no;5;148;148;SM;101;26;PD;0;148;4;2;25;25;AS;0;12;0;8;4;SM;25
129;A;P129;T1;NH;T;64;32;4;no;5;135;135;SM;80;2;PD;1;135;4;3;34;34;AS;5;11;8;2;7;SM;34
130;A;P130;F1;NH;F;60;66;4;no;8;109;109;SM;69;13;PD;0;109;4;4;51;51;AS;0;12;8;2;13;SM;51
131;A;P131;HF;H;F;66;51;4;no;7;134;134;SM;29;44;PD;0;134;4;4;74;74;AS;0;13;0;60;2;SM;75
132;A;P132;F2;NH;F;56;55;4;no;5;113;113;SM;91;10;PD;0;113;4;3;34;34;AS;7;9;0;12;2;SM;34
133;A;P133;T2;NH;T;71;70;4;no;5;119;119;SM;59;42;PD;0;119;4;1;11;11;AS;0;11;0;0;0;SM;11
134;A;P134;M1;NH;M;95;38;4;no;3;85;85;SM;3;61;PD;1;85;4;5;36;36;AS;0;3;11;16;5;SM;36
135;A;P135;M2;NH;M;66;49;4;no;3;106;106;SM;8;62;PD;1;106;4;6;73;73;AS;3;24;4;37;2;SM;73
136;A;P136;HT;H;T;37;44;4;no;6;87;87;SM;51;22;PD;0;87;4;3;43;43;AS;5;6;1;11;0;SM;43
137;A;P137;HM;H;M;105;42;4;no;4;92;92;SM;27;17;PD;1;92;4;5;50;50;AS;0;13;5;25;0;SM;50
138;A;P138;T1;NH;T;72;53;4;no;3;70;70;SM;48;19;PD;0;70;4;5;68;68;AS;3;5;8;47;5;SM;68
139;A;P139;F1;NH;F;53;52;4;no;6;111;111;SM;32;60;PD;0;111;4;5;63;63;AS;0;16;0;33;5;SM;63
140;A;P140;HF;H;F;51;49;4;no;6;70;70;SM;40;16;PD;0;70;4;4;54;54;AS;4;4;12;22;0;SM;54
141;A;P141;F2;NH;F;54;41;4;no;4;82;82;SM;31;38;PD;0;82;4;6;66;66;AS;0;49;0;6;2;TJ;66
142;A;P142;T2;NH;T;77;36;4;no;9;143;143;SM;41;56;PD;0;143;4;7;44;44;AS;12;11;5;6;0;TJ;44
143;A;P143;M1;NH;M;103;43;4;no;4;123;123;SM;0;50;PD;2;123;4;4;47;47;AS;28;5;5;0;0;TJ;47
144;A;P144;M2;NH;M;81;48;4;no;4;124;124;SM;67;42;PD;0;124;4;4;49;49;AS;0;27;0;6;12;TJ;49
145;A;P145;HT;H;T;56;40;4;no;8;91;91;SM;50;9;PD;0;91;4;7;70;70;AS;37;16;0;0;10;TJ;70
146;A;P146;HM;H;M;88;32;4;no;4;95;95;EC;44;49;PD;0;95;4;3;37;37;AS;12;5;4;1;4;TJ;37
147;A;P147;T1;NH;T;71;49;4;no;2;37;37;EC;21;10;PD;0;37;4;6;77;77;AS;17;33;5;9;7;TJ;77
148;A;P148;F1;NH;F;56;29;4;no;6;89;89;EC;8;23;PD;1;89;4;5;46;46;AS;20;25;1;1;0;TJ;47
149;A;P149;HF;H;F;55;35;4;no;0;0;0;EC;0;0;PD;0;0;4;4;46;46;AS;0;32;0;10;3;TJ;46
150;A;P150;F2;NH;F;64;55;4;no;3;61;61;EC;37;14;PD;0;61;4;7;86;86;AS;2;42;0;19;7;TJ;86
151;A;P151;T2;NH;T;62;41;4;yes;8;104;104;EC;45;31;PD;0;104;4;6;47;47;AS;14;0;25;0;3;TJ;47
152;A;P152;M1;NH;M;96;44;4;no;5;106;106;EC;104;5;PD;0;109;4;7;71;71;AS;0;26;0;11;2;TJ;71
153;A;P153;M2;NH;M;80;57;4;yes;5;137;137;EC;50;24;PD;0;137;4;5;67;67;AS;0;24;0;28;2;TJ;67
154;A;P154;HT;H;T;72;44;4;no;5;23;23;EC;21;0;PD;0;23;4;4;37;37;AS;2;10;3;17;0;TJ;37
155;A;P155;HM;H;M;38;44;4;no;5;89;89;EC;26;7;PD;0;89;4;6;50;50;AS;3;4;11;23;2;TJ;50
156;A;P156;T1;NH;T;95;51;4;no;3;64;64;EC;19;24;PD;0;64;4;6;40;40;AS;2;2;20;4;0;TJ;40
157;A;P157;F1;NH;F;97;53;4;no;9;146;146;EC;61;30;PD;0;146;4;4;44;44;AS;9;6;8;16;3;TJ;44
158;A;P158;HF;H;F;;;;;;;;;;;;;;0;;;;;;;;;;;
159;A;P159;F2;NH;F;69;47;4;no;3;81;81;EC;41;8;PD;0;81;4;6;56;56;AS;0;40;0;0;4;TJ;56
160;A;P160;T2;NH;T;92;39;4;no;7;142;142;EC;43;29;PD;0;142;4;5;44;44;AS;31;1;0;0;5;TJ;44
161;A;P161;M1;NH;M;106;37;4;no;5;122;122;EC;79;51;PD;0;130;4;5;41;41;AS;7;29;0;0;3;TJ;41
162;A;P162;M2;NH;M;65;55;4;no;3;62;62;EC;9;51;PD;0;62;4;4;54;54;AS;14;16;8;11;2;TJ;54
163;A;P163;HT;H;T;64;53;4;no;5;114;114;EC;108;0;PD;0;114;4;;;;;;;;;;;
164;A;P164;HM;H;M;135;51;4;no;6;164;164;EC;74;22;PD;1;164;4;5;51;51;AS;28;9;9;3;1;TJ;51
165;A;P165;T1;NH;T;91;49;4;no;6;94;94;EC;8;84;PD;0;94;4;6;43;43;AS;22;7;3;0;8;TJ;43
166;A;P166;F1;NH;F;73;40;4;no;6;101;101;EC;20;40;PD;0;101;4;5;61;61;AS;0;37;0;15;3;TJ;61
167;A;P167;HF;H;F;77;52;4;no;7;108;108;EC;48;21;PD;0;108;4;6;58;58;AS;0;55;0;0;7;TJ;62
