ind;bloc;focal;treatment;hybridity;linetype;focalweight;mateweight;layingdays;selfedbeforepairingF;clutchesF;eggsF;viableeggsF;quicomptelesoeufs;babiesF;unhatchedF;whocountsbabiesF;qualityF;correctedeggsf;layingdaysA;clutchesA;eggsA;viableeggsA;whocountseggsA;PbabiesA;AbabiesA;PunhachedA;AunhatchedA;unknownunhatchedA;whocountsbabiesA;correctedeggsA
239;B;P239;HM;H;M;104;34;4;no;4;101;101;PD;23;71;PD;0;101;4;5;50;50;PD;21;4;17;2;0;SM;50
240;B;P240;F1;NH;F;90;44;4;no;7;162;162;PD;16;119;PD;0;162;4;2;12;12;PD;0;7;0;0;0;SM;12
241;B;P241;M2;NH;M;100;48;4;no;3;98;98;PD;58;3;PD;0;98;4;4;49;49;PD;1;10;3;13;13;SM;49
242;B;P242;HF;H;F;56;57;4;no;6;97;97;PD;68;15;PD;0;97;4;5;70;70;PD;37;0;0;23;0;SM;70
243;B;P243;F2;NH;F;79;45;4;no;5;114;114;PD;29;81;PD;0;114;4;4;39;39;PD;15;16;1;7;0;SM;39
244;B;P244;M1;NH;M;92;41;4;no;4;104;104;PD;70;23;PD;0;104;4;6;62;62;PD;19;15;9;16;1;SM;62
245;B;P245;T2;NH;T;73;47;4;no;9;149;149;PD;17;2;PD;1;149;4;3;39;39;PD;6;14;6;11;0;SM;39
246;B;P246;HT;H;T;77;41;4;no;5;124;124;PD;38;17;PD;1;124;4;0;0;0;PD;0;0;0;0;0;SM;0
247;B;P247;T1;NH;T;84;63;4;no;5;89;89;PD;4;30;PD;2;89;4;3;53;53;PD;22;6;18;3;0;SM;53
248;B;P248;HM;H;M;123;65;4;no;3;166;166;PD;24;81;PD;2;166;4;5;71;71;PD;4;35;1;6;12;SM;71
249;B;P249;F1;NH;F;59;46;4;no;5;89;89;PD;22;8;PD;1;89;4;6;52;52;PD;0;10;0;34;0;SM;52
250;B;P250;M2;NH;M;91;31;4;no;5;148;148;AS;48;41;AS;0;148;4;4;35;35;PD;0;13;0;15;1;PD;35
251;B;P251;HF;H;F;87;46;4;no;6;103;103;AS;28;66;AS;0;103;4;3;35;35;PD;0;20;0;15;1;PD;36
252;B;P252;F2;NH;F;74;39;4;no;6;156;156;AS;37;89;AS;0;156;4;5;53;53;PD;3;7;0;16;23;PD;53
253;B;P253;M1;NH;M;93;57;4;no;3;84;84;AS;31;39;AS;0;84;4;4;58;58;PD;0;0;29;9;11;PD;58
254;B;P254;T2;NH;T;101;37;4;no;5;160;160;AS;18;114;AS;0;160;4;4;39;39;PD;8;5;15;7;3;PD;39
255;B;P255;HT;H;T;73;50;4;no;7;135;135;AS;11;45;AS;1;135;4;5;73;73;PD;0;15;0;44;1;PD;73
256;B;P256;T1;NH;T;85;78;4;no;4;106;106;AS;30;70;AS;0;106;4;3;67;67;PD;3;28;0;15;21;PD;67
257;B;P257;HM;H;M;95;51;4;no;4;133;133;AS;27;83;AS;0;133;4;6;64;64;PD;16;3;25;3;1;PD;64
258;B;P258;F1;NH;F;94;51;4;no;8;146;146;AS;37;108;AS;0;146;4;4;41;41;PD;0;11;0;29;0;PD;41
259;B;P259;M2;NH;M;76;74;4;no;3;108;108;AS;2;73;AS;0;108;4;5;69;69;PD;0;19;0;51;1;PD;71
260;B;P260;HF;H;F;47;46;4;no;7;120;120;AS;83;16;AS;0;120;4;4;52;52;PD;0;3;0;33;14;PD;52
261;B;P261;F2;NH;F;80;56;4;no;5;106;106;AS;84;3;AS;0;106;4;4;58;58;PD;9;16;9;19;3;PD;58
262;B;P262;M1;NH;M;93;56;4;no;4;88;88;AS;65;15;AS;0;88;4;6;89;89;PD;13;14;12;33;4;PD;89
263;B;P263;T2;NH;T;80;58;4;no;4;45;45;AS;19;17;AS;0;45;4;6;60;60;PD;5;12;10;24;2;PD;60
264;B;P264;HT;H;T;90;40;4;no;6;133;133;AS;53;62;AS;0;133;4;5;35;35;PD;1;0;18;2;4;PD;35
265;B;P265;T1;NH;T;78;68;4;no;4;77;77;AS;56;3;AS;0;77;4;6;82;82;PD;20;6;33;9;1;PD;82
266;B;P266;HM;H;M;103;45;4;no;4;97;97;AS;10;63;AS;0;97;4;6;83;83;PD;2;30;5;34;1;PD;83
267;B;P267;F1;NH;F;79;49;4;no;8;121;121;AS;60;42;AS;0;121;4;6;48;48;PD;0;23;0;25;8;PD;56
268;B;P268;M2;NH;M;111;62;4;no;6;152;152;AS;106;12;AS;0;152;4;6;64;64;PD;1;4;3;39;0;PD;64
269;B;P269;HF;H;F;67;50;4;no;6;98;98;AS;19;54;AS;1;98;4;3;42;42;PD;14;0;9;10;1;PD;42
270;B;P270;F2;NH;F;81;51;4;no;3;121;121;AS;86;23;AS;0;121;4;5;64;64;PD;5;34;1;6;7;PD;64
271;B;P271;M1;NH;M;126;55;4;no;4;141;141;AS;116;20;AS;0;141;4;4;59;59;PD;0;0;30;3;19;PD;59
272;B;P272;T2;NH;T;57;42;4;no;6;111;111;AS;32;1;AS;1;111;4;5;40;40;PD;20;2;15;2;0;PD;40
273;B;P273;HT;H;T;94;49;4;no;4;104;104;AS;30;15;AS;0;104;4;6;53;53;PD;12;4;11;10;0;PD;53
274;B;P274;T1;NH;T;109;54;4;no;0;0;0;AS;0;0;AS;0;0;4;5;84;84;PD;46;4;16;5;1;PD;84
275;B;P275;HM;H;M;99;58;4;no;4;186;186;AS;99;40;AS;0;186;4;3;40;40;PD;0;0;0;7;4;PD;40
276;B;P276;F1;NH;F;77;51;4;yes;6;96;96;AS;28;25;AS;0;96;4;3;37;37;PD;0;2;0;31;0;PD;37
277;B;P277;M2;NH;M;97;57;4;no;7;193;193;AS;118;41;AS;0;193;4;4;58;58;PD;0;20;0;49;0;PD;69
278;B;P278;HF;H;F;41;58;4;no;5;79;79;AS;1;50;AS;0;79;4;2;26;26;PD;0;4;0;10;1;PD;26
279;B;P279;F2;NH;F;70;74;4;no;3;102;102;AS;15;54;AS;0;102;4;4;65;65;PD;0;0;0;60;19;PD;79
280;B;P280;M1;NH;M;121;58;4;no;3;104;104;AS;57;17;AS;0;104;4;3;51;51;PD;5;2;17;21;0;PD;51
281;B;P281;T2;NH;T;111;29;4;yes;3;43;43;AS;0;31;AS;0;43;4;6;52;52;PD;10;1;25;9;2;PD;52
282;B;P282;HT;H;T;79;51;4;no;5;117;117;AS;89;9;AS;0;117;4;3;66;66;PD;4;3;8;16;27;PD;66
283;B;P283;T1;NH;T;96;69;4;no;3;72;72;AS;10;52;AS;0;72;4;8;81;81;PD;0;29;3;51;2;PD;85
284;B;P284;HM;H;M;113;46;4;no;5;164;164;AS;60;66;AS;0;164;4;4;34;34;PD;1;1;3;19;0;PD;34
285;B;P285;F1;NH;F;99;46;4;no;6;174;174;AS;22;99;AS;0;174;4;7;66;66;PD;0;40;0;25;1;PD;66
286;B;P286;M2;NH;M;146;47;4;no;6;165;165;AS;35;58;AS;0;165;4;0;0;0;PD;0;0;0;0;0;PD;0
287;B;P287;HF;H;F;47;53;4;no;3;74;74;AS;0;68;AS;0;74;4;5;48;48;PD;6;2;16;12;4;PD;48
288;B;P288;F2;NH;F;74;52;4;no;4;140;140;AS;20;52;AS;0;140;4;5;46;46;PD;3;21;0;19;0;PD;46
289;B;P289;M1;NH;M;126;59;4;no;4;132;132;AS;87;8;AS;0;132;4;4;48;48;PD;6;3;13;17;1;PD;48
290;B;P290;T2;NH;T;81;43;4;no;7;164;164;AS;48;82;AS;0;164;4;3;31;31;PD;0;16;0;15;0;PD;31
291;B;P291;HT;H;T;58;52;4;no;3;73;73;AS;34;26;AS;0;73;4;4;45;45;PD;8;3;15;7;8;PD;45
292;B;P292;T1;NH;T;90;47;4;no;4;99;99;AS;0;99;AS;0;99;4;4;45;45;PD;0;0;22;11;2;PD;45
293;B;P293;HM;H;M;117;65;4;no;3;170;170;AS;32;56;AS;1;170;4;7;77;77;PD;23;4;32;13;0;PD;77
294;B;P294;F1;NH;F;104;63;4;no;8;173;173;SM;19;107;SM;0;173;4;6;86;86;PD;10;7;8;56;0;PD;86
295;B;P295;M2;NH;M;97;46;4;no;4;194;194;SM;18;143;SM;0;194;4;5;61;61;PD;0;0;0;58;1;PD;61
296;B;P296;HF;H;F;66;41;4;no;5;136;136;SM;22;80;SM;0;136;4;5;35;35;PD;0;7;0;26;1;PD;35
297;B;P297;F2;NH;F;81;64;4;no;4;102;102;SM;52;37;SM;0;102;4;5;103;103;PD;3;2;29;44;19;PD;103
298;B;P298;M1;NH;M;99;43;4;no;4;94;94;SM;41;46;SM;0;94;4;2;12;12;PD;0;0;0;0;2;PD;12
299;B;P299;T2;NH;T;87;36;4;no;3;87;87;SM;18;51;SM;0;87;4;5;52;52;PD;3;7;12;30;1;PD;53
300;B;P300;HT;H;T;75;42;4;no;3;122;122;SM;57;65;SM;0;122;4;4;54;54;PD;6;0;33;4;1;PD;54
301;B;P301;T1;NH;T;90;38;4;no;2;91;91;SM;3;82;SM;0;91;4;5;54;54;PD;8;0;40;2;3;AS;54
302;B;P302;HM;H;M;130;54;4;no;8;185;185;SM;38;124;SM;0;185;4;3;41;41;PD;0;0;23;11;1;AS;41
303;B;P303;F1;NH;F;81;70;4;no;9;126;126;SM;40;19;SM;0;126;4;7;85;85;PD;1;19;7;50;2;AS;85
304;B;P304;M2;NH;M;94;56;4;no;7;200;200;SM;22;136;SM;0;200;4;5;69;69;PD;1;24;1;37;3;AS;69
305;B;P305;HF;H;F;85;64;4;no;6;134;134;SM;41;;SM;;134;4;3;43;43;SM;10;3;1;6;0;AS;43
306;B;P306;F2;NH;F;67;53;4;no;5;118;118;SM;29;60;SM;0;118;4;4;47;47;SM;2;1;0;30;0;AS;47
307;B;P307;M1;NH;M;111;41;4;no;4;143;143;SM;15;105;SM;0;143;4;4;47;47;SM;0;0;1;3;3;AS;47
308;B;P308;T2;NH;T;95;62;4;no;4;105;105;SM;10;36;SM;0;105;4;6;103;103;SM;21;8;16;15;1;AS;103
309;B;P309;HT;H;T;59;19;4;no;5;120;120;SM;89;2;SM;0;120;4;4;28;28;SM;0;1;12;7;0;PD;28
310;B;P310;T1;NH;T;83;55;4;no;4;100;100;SM;30;35;SM;0;100;4;7;81;81;SM;8;23;8;35;1;PD;81
311;B;P311;HM;H;M;117;63;4;no;4;159;159;SM;144;16;SM;0;160;4;5;60;60;SM;19;0;29;0;1;PD;60
312;B;P312;F1;NH;F;98;54;4;no;7;130;130;SM;45;72;SM;0;130;4;4;82;82;SM;0;15;0;53;0;PD;82
313;B;P313;M2;NH;M;62;49;4;no;7;132;132;SM;39;36;SM;0;132;4;7;79;79;SM;0;1;0;57;6;PD;79
314;B;P314;HF;H;F;75;62;4;no;8;137;137;SM;59;74;SM;0;137;4;6;93;93;SM;2;28;1;27;0;PD;93
315;B;P315;F2;NH;F;76;52;4;no;4;99;99;SM;60;36;SM;0;99;4;4;74;74;SM;1;9;0;47;2;PD;74
316;B;P316;M1;NH;M;134;32;4;no;5;161;161;SM;76;6;SM;0;161;4;5;41;41;SM;16;26;1;2;3;AS;48
317;B;P317;T2;NH;T;70;61;4;no;7;107;107;SM;48;0;SM;0;107;4;5;50;50;SM;15;4;10;7;4;AS;50
318;B;P318;HT;H;T;74;46;4;no;7;175;175;SM;47;58;SM;0;175;4;4;65;65;SM;22;0;36;0;0;AS;65
319;B;P319;T1;NH;T;79;59;4;no;2;67;67;SM;55;0;SM;0;67;4;0;0;0;SM;0;0;0;0;0;AS;0
320;B;P320;HM;H;M;115;55;4;no;5;188;188;SM;74;70;SM;0;188;4;3;12;12;SM;2;0;3;3;2;AS;12
321;B;P321;F1;NH;F;74;46;4;no;8;156;108;SM;42;84;SM;0;126;4;3;16;16;SM;0;1;1;11;1;AS;16
322;B;P322;M2;NH;M;;;;;;;;;;;;;;0;;;;;;;;;;;
323;B;P323;HF;H;F;;;;;;;;;;;;;;0;;;;;;;;;;;
