"Gen","Treatment","Replicate","Contest","Vial","Red","Brown"
"64","MLSD","3","85","2",27,44
"64","MLSD","3","85","3",39,53
"64","MLSD","3","85","4",31,44
"64","MLSD","3","85","5",43,64
"64","MLSD","3","85","6",25,42
"64","MLSD","3","109","1",35,46
"64","MLSD","3","109","2",41,52
"64","MLSD","3","109","3",36,58
"64","MLSD","3","109","4",39,57
"64","MLSD","3","109","5",36,58
"64","MLSD","3","109","6",29,47
"64","MLSD","5","21","1",39,60
"64","MLSD","5","21","2",51,67
"64","MLSD","5","21","3",48,90
"64","MLSD","5","21","4",41,70
"64","MLSD","5","21","5",36,87
"64","MLSD","5","21","6",35,72
"64","MLSD","5","45","1",13,36
"64","MLSD","5","45","2",14,40
"64","MLSD","5","45","3",18,46
"64","MLSD","5","45","4",11,33
"64","MLSD","5","45","5",19,53
"64","MLSD","5","45","6",34,81
"64","MLSD","5","69","1",10,35
"64","MLSD","5","69","2",15,48
"64","MLSD","5","69","3",12,35
"64","MLSD","5","69","4",27,52
"64","MLSD","5","69","5",17,34
"64","MLSD","5","69","6",19,34
"64","MLSD","5","93","1",26,43
"64","MLSD","5","93","2",32,27
"64","MLSD","5","93","3",12,51
"64","MLSD","5","93","4",15,30
"64","MLSD","5","93","5",40,63
"64","MLSD","5","93","6",22,38
"64","MLSD","5","117","1",37,80
"64","MLSD","5","117","2",36,59
"64","MLSD","5","117","3",20,21
"64","MLSD","5","117","4",11,19
"64","MLSD","5","117","5",16,10
"64","MLSD","5","117","6",6,6
"64","MLSD","5","139","1",35,72
"64","MLSD","5","139","2",41,78
"64","MLSD","5","139","3",44,45
"64","MLSD","5","139","4",47,61
"64","MLSD","5","139","5",32,61
"64","MLSD","5","139","6",44,38
"64","MC","1","2","1",20,74
"64","MC","1","2","2",21,80
"64","MC","1","2","3",20,61
"64","MC","1","2","4",19,71
"64","MC","1","2","5",7,66
"64","MC","1","2","6",13,78
"64","MC","1","26","1",23,54
"64","MC","1","26","2",28,65
"64","MC","1","26","3",30,62
"64","MC","1","26","4",25,55
"64","MC","1","26","5",43,69
"64","MC","1","26","6",25,56
"64","MC","1","50","1",14,43
"64","MC","1","50","2",13,30
"64","MC","1","50","3",12,36
"64","MC","1","50","4",18,46
"64","MC","1","50","5",19,38
"64","MC","1","50","6",20,33
"64","MC","1","74","1",9,20
"64","MC","1","74","2",18,31
"64","MC","1","74","3",27,32
"64","MC","1","74","4",16,29
"64","MC","1","74","5",16,35
"64","MC","1","74","6",15,22
"64","MC","1","98","1",37,47
"64","MC","1","98","2",24,37
"64","MC","1","98","3",23,24
"64","MC","1","98","4",23,44
"64","MC","1","98","5",37,56
"64","MC","1","98","6",32,42
"64","MC","1","121","1",19,33
"64","MC","1","121","2",9,70
"64","MC","1","121","3",20,49
"64","MC","1","121","4",42,80
"64","MC","1","121","5",17,48
"64","MC","1","121","6",7,30
"64","MC","3","10","1",39,60
"64","MC","3","10","2",37,58
"64","MC","3","10","3",17,46
"64","MC","3","10","4",22,49
"64","MC","3","10","5",31,56
"64","MC","3","10","6",42,57
"64","MC","3","34","1",29,68
"64","MC","3","34","2",42,57
"64","MC","3","34","3",29,57
"64","MC","3","34","4",25,53
"64","MC","3","34","5",34,63
"64","MC","3","34","6",31,66
"64","MC","3","58","1",29,47
"64","MC","3","58","2",26,62
"64","MC","3","58","3",32,55
"64","MC","3","58","4",27,63
"64","MC","3","58","5",24,55
"64","MC","3","58","6",26,60
"64","MC","3","82","1",36,56
"64","MC","3","82","2",32,58
"64","MC","3","82","3",25,44
"64","MC","3","82","4",31,65
"64","MC","3","82","5",29,50
"64","MC","3","82","6",30,53
"64","MC","3","106","1",41,61
"64","MC","3","106","2",38,62
"64","MC","3","106","3",53,64
"64","MC","3","106","4",31,77
"64","MC","3","106","5",25,45
"64","MC","3","106","6",31,35
