Selection,Line,Vial,Red.Offspring,Peach.offspring
ML,38,3,8,23
ML,38,4,14,13
MC,1,1,69,24
MC,1,2,7,17
MC,1,3,35,21
MC,1,4,13,45
MC,1,5,42,18
MC,2,1,103,8
MC,2,2,30,88
MC,2,3,41,66
MC,2,4,39,49
MC,2,5,56,32
MC,3,1,15,7
MC,3,2,22,13
MC,3,3,16,21
MC,3,4,62,41
MC,3,5,23,38
MC,4,1,46,19
MC,4,2,39,63
MC,4,3,32,30
MC,4,4,37,21
MC,5,1,41,10
MC,5,2,19,7
MC,5,3,17,16
MC,5,4,23,14
MC,6,1,15,23
MC,6,2,19,41
MC,6,3,9,50
MC,6,4,6,23
MC,7,1,33,18
MC,7,2,16,9
MC,7,3,40,41
MC,7,4,28,21
MC,8,1,9,7
MC,8,2,51,56
MC,8,3,18,13
MC,8,4,36,67
MC,8,5,10,41
MC,9,1,1,32
MC,9,2,41,75
MC,9,3,46,25
MC,9,4,16,21
MC,9,5,14,3
MC,10,1,54,6
MC,10,2,53,28
MC,10,3,81,32
MC,10,4,92,26
MC,10,5,13,43
MC,11,1,16,49
MC,11,2,19,16
MC,11,3,8,68
MC,11,4,25,55
MC,11,5,21,65
MC,12,1,23,21
MC,12,2,54,14
MC,12,3,25,22
MC,12,4,44,39
MC,12,5,14,25
MC,13,1,9,29
MC,13,2,51,19
MC,13,3,30,41
MC,13,4,27,61
MC,13,5,65,63
MC,14,1,36,38
MC,14,2,49,26
MC,14,3,30,17
MC,14,4,7,34
MC,14,5,39,17
MC,15,1,31,24
MC,15,2,30,19
MC,15,3,21,22
MC,15,4,15,29
MC,15,5,60,51
MC,16,1,24,15
MC,16,2,28,42
MC,16,3,20,30
MC,16,4,56,54
MC,17,1,21,37
MC,17,2,40,51
MC,17,3,52,11
MC,17,4,48,7
MC,17,5,37,95
MC,18,1,7,30
MC,18,2,61,45
MC,18,3,35,29
MC,18,4,8,36
MC,18,5,35,16
MC,19,1,26,53
MC,19,2,75,13
MC,19,3,34,58
MC,19,4,50,43
MC,19,5,65,19
MC,20,1,11,25
MC,20,2,7,33
MC,20,3,22,40
MC,20,4,16,59
MC,20,5,21,64
MC,21,1,25,41
MC,21,2,24,37
MC,21,3,60,43
MC,21,4,60,41
MC,21,5,71,39
MC,22,1,71,50
MC,22,2,28,11
MC,22,3,40,36
MC,22,4,8,4
MC,22,5,9,7
MC,23,1,65,85
MC,23,2,60,62
MC,23,3,24,68
MC,23,4,63,33
MC,23,5,27,55
MC,24,1,115,26
MC,24,2,26,59
MC,24,3,54,18
MC,24,4,86,32
MC,24,5,40,26
MC,25,1,22,38
MC,25,2,44,62
MC,25,3,61,26
MC,25,4,18,89
MC,25,5,41,71
MC,26,1,10,38
MC,26,2,15,66
MC,26,3,7,29
MC,26,4,59,48
MC,26,5,40,27
MC,27,1,14,23
MC,27,2,9,16
MC,27,3,29,49
MC,27,4,7,14
MC,27,5,14,25
MC,28,1,4,28
MC,28,2,26,55
MC,28,3,11,46
MC,28,4,12,46
MC,28,5,42,26
MC,29,1,35,16
MC,29,2,12,93
MC,29,3,2,9
MC,29,4,34,18
MC,29,5,13,16
MC,30,1,55,27
MC,30,2,5,59
MC,30,3,9,52
MC,30,4,41,25
MC,30,5,15,65
MC,31,1,17,14
MC,31,2,19,21
MC,31,3,35,44
MC,31,4,22,16
MC,32,1,34,65
MC,32,2,53,36
MC,32,3,24,71
MC,32,4,26,79
MC,33,1,21,16
MC,33,2,29,21
MC,33,3,26,15
MC,33,4,50,39
MC,34,1,26,20
MC,34,2,21,19
MC,34,3,25,41
MC,34,4,40,39
MC,34,5,26,44
MC,35,1,19,20
MC,35,2,25,43
MC,35,3,4,15
MC,35,4,3,48
MC,35,5,3,10
MC,36,1,15,23
MC,36,2,19,41
MC,36,3,9,50
MC,36,4,6,23
MC,37,1,2,19
MC,37,2,37,16
MC,37,3,3,31
MC,37,4,10,41
MC,37,5,19,30
MC,38,1,12,27
MC,38,2,22,47
MC,38,3,1,4
MC,38,4,6,17
MC,38,5,43,34
