"Gen","Treatment","Replicate","Contest","Vial","Red","Brown"
"50","MLSD","1","16","6",24,49
"50","MLSD","1","27","1",31,46
"50","MLSD","1","27","2",30,61
"50","MLSD","1","27","3",29,56
"50","MLSD","1","27","4",39,42
"50","MLSD","1","27","5",33,50
"50","MLSD","1","27","6",33,57
"50","MLSD","1","39","1",30,36
"50","MLSD","1","39","2",24,51
"50","MLSD","1","39","3",24,36
"50","MLSD","1","39","4",37,45
"50","MLSD","1","39","5",26,37
"50","MLSD","1","39","6",28,51
"50","MLSD","1","51","1",15,48
"50","MLSD","1","51","2",25,38
"50","MLSD","1","51","3",31,36
"50","MLSD","1","51","4",34,42
"50","MLSD","1","51","5",24,38
"50","MLSD","1","51","6",34,45
"50","MLSD","1","63","1",38,36
"50","MLSD","1","63","2",46,43
"50","MLSD","1","63","3",34,42
"50","MLSD","1","63","4",34,37
"50","MLSD","1","63","5",49,47
"50","MLSD","1","63","6",65,34
"50","MLSD","3","8","1",34,36
"50","MLSD","3","8","3",28,41
"50","MLSD","3","8","4",43,49
"50","MLSD","3","8","5",35,31
"50","MLSD","3","8","6",23,16
"50","MLSD","3","31","1",32,44
"50","MLSD","3","31","2",36,40
"50","MLSD","3","31","3",37,43
"50","MLSD","3","31","4",37,33
"50","MLSD","3","31","5",44,44
"50","MLSD","3","31","6",45,44
"50","MLSD","3","43","1",40,38
"50","MLSD","3","43","2",33,30
"50","MLSD","3","43","3",38,34
"50","MLSD","3","43","4",24,33
"50","MLSD","3","43","5",37,39
"50","MLSD","3","43","6",23,46
"50","MLSD","3","55","1",33,55
"50","MLSD","3","55","2",42,22
"50","MLSD","3","55","3",34,15
"50","MLSD","3","55","5",41,20
"50","MLSD","3","55","6",20,28
"50","MLSD","3","67","1",37,32
"50","MLSD","3","67","2",41,33
"50","MLSD","3","67","3",36,29
"50","MLSD","3","67","4",32,43
"50","MLSD","3","67","5",35,23
"50","MLSD","3","67","6",31,36
"50","MLSD","5","12","1",43,28
"50","MLSD","5","12","2",38,23
"50","MLSD","5","12","3",47,36
"50","MLSD","5","12","4",44,32
"50","MLSD","5","12","5",63,31
"50","MLSD","5","12","6",41,34
"50","MLSD","5","23","1",36,52
"50","MLSD","5","23","2",45,42
"50","MLSD","5","23","3",65,46
"50","MLSD","5","23","4",55,31
"50","MLSD","5","23","5",51,32
"50","MLSD","5","23","6",54,40
"50","MLSD","5","35","1",60,39
"50","MLSD","5","35","2",59,34
"50","MLSD","5","35","3",45,26
"50","MLSD","5","35","4",47,30
"50","MLSD","5","35","5",53,41
"50","MLSD","5","35","6",57,40
"50","MLSD","5","47","1",67,41
"50","MLSD","5","47","2",62,49
"50","MLSD","5","47","3",53,39
"50","MLSD","5","47","4",53,35
"50","MLSD","5","47","5",75,49
"50","MLSD","5","47","6",62,40
"50","MLSD","5","59","1",40,38
"50","MLSD","5","59","2",43,40
"50","MLSD","5","59","3",52,41
"50","MLSD","5","59","4",47,44
"50","MLSD","5","59","5",54,35
"50","MLSD","5","59","6",58,42
"50","MLSD","5","71","1",49,39
"50","MLSD","5","71","2",37,18
"50","MLSD","5","71","3",40,23
"50","MLSD","5","71","4",30,24
"50","MLSD","5","71","5",37,25
"50","MLSD","5","71","6",50,31
"50","MC","1","2","1",52,40
"50","MC","1","2","2",51,36
"50","MC","1","2","3",50,35
"50","MC","1","2","4",48,44
"50","MC","1","2","5",52,36
"50","MC","1","2","6",63,38
"50","MC","1","14","1",57,46
"50","MC","1","14","2",69,32
"50","MC","1","14","3",85,46
"50","MC","1","14","4",89,28
"50","MC","1","14","5",79,36
"50","MC","1","14","6",78,49
"50","MC","1","25","1",67,46
"50","MC","1","25","2",70,29
"50","MC","1","25","3",69,45
"50","MC","1","25","4",65,40
"50","MC","1","25","5",58,47
"50","MC","1","25","6",84,41
"50","MC","1","37","1",53,38
"50","MC","1","37","2",66,53
"50","MC","1","37","3",51,48
"50","MC","1","37","4",69,48
"50","MC","1","37","5",63,41
"50","MC","1","37","6",64,55
"50","MC","1","49","1",60,49
"50","MC","1","49","2",59,39
"50","MC","1","49","3",61,35
"50","MC","1","49","4",59,41
"50","MC","1","49","5",50,51
"50","MC","1","49","6",63,42
"50","MC","1","61","1",64,40
"50","MC","1","61","2",84,38
"50","MC","1","61","3",70,24
"50","MC","1","61","4",76,26
"50","MC","1","61","5",61,40
"50","MC","1","61","6",66,32
"50","MC","3","6","1",54,54
"50","MC","3","6","2",43,38
"50","MC","3","6","3",62,30
"50","MC","3","6","4",67,24
"50","MC","3","6","5",72,31
"50","MC","3","6","6",95,43
"50","MC","3","18","1",49,32
"50","MC","3","18","2",78,41
"50","MC","3","18","3",48,33
"50","MC","3","18","4",66,32
"50","MC","3","18","5",52,28
"50","MC","3","18","6",61,26
"50","MC","3","29","1",48,20
"50","MC","3","29","2",65,34
"50","MC","3","29","3",52,16
"50","MC","3","29","4",52,20
"50","MC","3","29","5",60,32
"50","MC","3","29","6",60,22
"50","MC","3","41","1",85,65
"50","MC","3","41","2",55,36
"50","MC","3","41","3",45,26
"50","MC","3","41","4",64,17
"50","MC","3","41","5",47,20
"50","MC","3","41","6",36,24
"50","MC","3","53","1",52,21
"50","MC","3","53","2",95,45
"50","MC","3","53","3",74,44
"50","MC","3","53","4",49,28
"50","MC","3","53","5",83,37
"50","MC","3","53","6",70,33
"50","MC","3","65","1",43,20
"50","MC","3","65","2",45,27
"50","MC","3","65","3",52,34
"50","MC","3","65","4",57,26
"50","MC","3","65","5",60,36
"50","MC","3","65","6",45,27
"50","MC","5","10","1",39,43
"50","MC","5","10","2",63,25
"50","MC","5","10","3",66,30
"50","MC","5","10","4",58,35
"50","MC","5","10","5",71,31
"50","MC","5","10","6",58,31
"50","MC","5","21","1",54,33
"50","MC","5","21","2",34,25
"50","MC","5","21","3",45,27
"50","MC","5","21","4",49,30
"50","MC","5","21","5",49,44
"50","MC","5","21","6",40,29
"50","MC","5","33","1",46,32
"50","MC","5","33","2",55,39
"50","MC","5","33","3",54,33
"50","MC","5","33","4",38,29
"50","MC","5","33","5",58,36
"50","MC","5","33","6",48,29
"50","MC","5","45","1",32,21
"50","MC","5","45","2",40,15
"50","MC","5","45","3",39,19
"50","MC","5","45","4",73,36
"50","MC","5","45","5",55,35
"50","MC","5","45","6",42,28
"50","MC","5","57","1",60,35
"50","MC","5","57","2",46,16
"50","MC","5","57","3",49,25
"50","MC","5","57","4",52,29
"50","MC","5","57","5",61,36
"50","MC","5","57","6",47,24
"50","MC","5","69","1",56,39
"50","MC","5","69","2",51,37
"50","MC","5","69","3",46,26
"50","MC","5","69","4",51,40
"50","MC","5","69","5",48,40
"50","MC","5","69","6",48,39
