rep_population,regime,regimeRP,male,age,dead
RP3,bCFM,hCFMRP3,3,71,1
RP3,bCFM,hCFMRP3,4,24,1
RP3,bCFM,hCFMRP3,5,41,1
RP3,bCFM,hCFMRP3,6,55,1
RP3,bCFM,hCFMRP3,7,73,1
RP3,bCFM,hCFMRP3,8,44,1
RP3,bCFM,hCFMRP3,9,55,1
RP3,bCFM,hCFMRP3,10,29,1
RP3,bCFM,hCFMRP3,11,38,1
RP3,bCFM,hCFMRP3,12,39,1
RP3,bCFM,hCFMRP3,13,41,1
RP3,bCFM,hCFMRP3,14,29,1
RP3,bCFM,hCFMRP3,15,73,1
RP3,bCFM,hCFMRP3,16,62,1
RP3,bCFM,hCFMRP3,17,79,0
RP3,bCFM,hCFMRP3,18,35,1
RP3,bCFM,hCFMRP3,19,61,1
RP3,bCFM,hCFMRP3,20,45,1
RP3,bCFM,hCFMRP3,21,35,1
RP3,bCFM,hCFMRP3,22,69,1
RP3,bCFM,hCFMRP3,23,33,1
RP3,bCFM,hCFMRP3,24,55,1
RP3,bCFM,hCFMRP3,25,41,1
RP3,bCFM,hCFMRP3,26,23,1
RP3,bCFM,hCFMRP3,27,18,1
RP3,bCFM,hCFMRP3,28,52,1
RP3,bCFM,hCFMRP3,29,52,1
RP3,bCFM,hCFMRP3,30,50,1
RP3,bCFM,hCFMRP3,31,33,1
RP3,bCFM,hCFMRP3,32,41,1
RP3,bCFM,hCFMRP3,33,43,1
RP3,bCFM,hCFMRP3,34,55,1
RP3,bCFM,hCFMRP3,35,62,1
RP3,cCwt,iCwtRP3,1,79,0
RP3,cCwt,iCwtRP3,2,79,0
RP3,cCwt,iCwtRP3,3,55,1
RP3,cCwt,iCwtRP3,4,54,1
RP3,cCwt,iCwtRP3,5,6,1
RP3,cCwt,iCwtRP3,6,79,0
RP3,cCwt,iCwtRP3,7,79,0
RP3,cCwt,iCwtRP3,8,62,1
RP3,cCwt,iCwtRP3,9,41,1
RP3,cCwt,iCwtRP3,10,68,1
RP3,cCwt,iCwtRP3,11,72,1
RP3,cCwt,iCwtRP3,12,65,1
RP3,cCwt,iCwtRP3,13,30,1
RP3,cCwt,iCwtRP3,14,64,1
RP3,cCwt,iCwtRP3,15,48,1
RP3,cCwt,iCwtRP3,16,74,1
RP3,cCwt,iCwtRP3,17,60,1
RP3,cCwt,iCwtRP3,18,69,1
RP3,cCwt,iCwtRP3,19,61,1
RP3,cCwt,iCwtRP3,20,41,1
RP3,cCwt,iCwtRP3,21,48,1
RP3,cCwt,iCwtRP3,22,55,1
RP3,cCwt,iCwtRP3,23,79,0
RP3,cCwt,iCwtRP3,24,72,1
RP3,cCwt,iCwtRP3,25,72,1
RP3,cCwt,iCwtRP3,26,66,1
RP3,cCwt,iCwtRP3,27,45,1
RP3,cCwt,iCwtRP3,28,64,1
RP3,cCwt,iCwtRP3,29,79,0
RP3,cCwt,iCwtRP3,30,47,1
RP3,cCwt,iCwtRP3,31,5,1
RP3,cCwt,iCwtRP3,32,24,1
RP3,cCwt,iCwtRP3,33,52,1
RP3,cCwt,iCwtRP3,34,43,1
RP3,cCwt,iCwtRP3,35,79,0
RP4,aFLX,jFLXRP4,1,65,1
RP4,aFLX,jFLXRP4,2,69,1
RP4,aFLX,jFLXRP4,3,53,1
RP4,aFLX,jFLXRP4,4,33,1
RP4,aFLX,jFLXRP4,5,44,1
RP4,aFLX,jFLXRP4,6,55,1
RP4,aFLX,jFLXRP4,7,45,1
RP4,aFLX,jFLXRP4,8,43,1
RP4,aFLX,jFLXRP4,9,41,1
RP4,aFLX,jFLXRP4,10,43,1
RP4,aFLX,jFLXRP4,11,50,1
RP4,aFLX,jFLXRP4,12,61,1
RP4,aFLX,jFLXRP4,13,33,1
