rep_population,regime,vial,male,age,dead
RP2,cCwt,7,2,40,1
RP2,cCwt,7,3,40,1
RP2,cCwt,7,4,44,1
RP2,cCwt,7,5,44,1
RP3,aFLX,1,1,33,1
RP3,aFLX,1,2,33,1
RP3,aFLX,1,3,39,1
RP3,aFLX,1,4,39,1
RP3,aFLX,1,5,40,1
RP3,aFLX,2,1,33,1
RP3,aFLX,2,2,33,1
RP3,aFLX,2,3,33,1
RP3,aFLX,2,4,38,1
RP3,aFLX,2,5,38,1
RP3,aFLX,3,1,32,1
RP3,aFLX,3,2,45,1
RP3,aFLX,3,3,47,1
RP3,aFLX,3,4,47,1
RP3,aFLX,3,5,48,0
RP3,aFLX,4,1,29,1
RP3,aFLX,4,2,30,1
RP3,aFLX,4,3,33,1
RP3,aFLX,4,4,35,1
RP3,aFLX,4,5,44,1
RP3,aFLX,5,1,17,1
RP3,aFLX,5,2,17,1
RP3,aFLX,5,3,30,1
RP3,aFLX,5,4,41,1
RP3,aFLX,5,5,47,1
RP3,aFLX,6,1,29,1
RP3,aFLX,6,2,35,1
RP3,aFLX,6,3,37,1
RP3,aFLX,6,4,40,1
RP3,aFLX,6,5,44,1
RP3,aFLX,7,1,32,1
RP3,aFLX,7,2,33,1
RP3,aFLX,7,3,39,1
RP3,aFLX,7,4,40,1
RP3,aFLX,7,5,48,0
RP3,bCFM,1,1,15,0
RP3,bCFM,1,2,29,1
RP3,bCFM,1,3,36,1
RP3,bCFM,1,4,37,1
RP3,bCFM,1,5,47,1
RP3,bCFM,2,1,24,1
RP3,bCFM,2,2,33,1
RP3,bCFM,2,3,35,1
RP3,bCFM,2,4,38,1
RP3,bCFM,2,5,39,1
RP3,bCFM,3,1,27,1
RP3,bCFM,3,2,32,1
RP3,bCFM,3,3,39,1
RP3,bCFM,3,4,44,1
RP3,bCFM,3,5,46,1
RP3,bCFM,4,1,20,1
RP3,bCFM,4,2,41,1
RP3,bCFM,4,3,43,1
RP3,bCFM,4,4,44,1
RP3,bCFM,4,5,48,0
RP3,bCFM,5,1,27,1
RP3,bCFM,5,2,39,1
RP3,bCFM,5,3,39,1
RP3,bCFM,5,4,40,1
RP3,bCFM,5,5,41,1
RP3,bCFM,6,1,17,1
RP3,bCFM,6,2,27,1
RP3,bCFM,6,3,27,1
RP3,bCFM,6,4,27,1
RP3,bCFM,6,5,46,1
RP3,bCFM,7,1,35,1
RP3,bCFM,7,2,39,1
RP3,bCFM,7,3,40,1
RP3,bCFM,7,4,40,1
RP3,bCFM,7,5,40,1
RP3,cCwt,1,1,30,1
RP3,cCwt,1,2,35,1
RP3,cCwt,1,3,36,1
RP3,cCwt,1,4,45,1
RP3,cCwt,1,5,47,1
RP3,cCwt,2,1,32,1
RP3,cCwt,2,2,33,1
RP3,cCwt,2,3,35,1
RP3,cCwt,2,4,36,1
RP3,cCwt,2,5,47,1
RP3,cCwt,3,1,32,1
RP3,cCwt,3,2,33,1
RP3,cCwt,3,3,37,1
RP3,cCwt,3,4,39,1
RP3,cCwt,3,5,40,1
RP3,cCwt,4,1,27,1
RP3,cCwt,4,2,27,1
RP3,cCwt,4,3,30,1
RP3,cCwt,4,4,30,1
RP3,cCwt,4,5,32,1
RP3,cCwt,5,1,6,1
RP3,cCwt,5,2,29,1
RP3,cCwt,5,3,30,1
RP3,cCwt,5,4,31,1
RP3,cCwt,5,5,35,1
RP3,cCwt,6,1,27,1
RP3,cCwt,6,2,27,1
RP3,cCwt,6,3,35,1
RP3,cCwt,6,4,35,1
RP3,cCwt,6,5,39,1
RP3,cCwt,7,1,3,1
RP3,cCwt,7,2,26,1
RP3,cCwt,7,3,35,1
RP3,cCwt,7,4,40,1
RP3,cCwt,7,5,48,0
RP4,aFLX,1,1,26,1
RP4,aFLX,1,2,26,1
RP4,aFLX,1,3,27,1
RP4,aFLX,1,4,32,1
RP4,aFLX,1,5,32,1
RP4,aFLX,2,1,26,1
RP4,aFLX,2,2,27,1
RP4,aFLX,2,3,36,1
RP4,aFLX,2,4,43,1
RP4,aFLX,2,5,48,0
RP4,aFLX,3,1,30,1
RP4,aFLX,3,2,30,1
RP4,aFLX,3,3,30,1
RP4,aFLX,3,4,32,1
RP4,aFLX,3,5,33,1
RP4,aFLX,4,1,20,1
RP4,aFLX,4,2,38,1
RP4,aFLX,4,3,40,1
RP4,aFLX,4,4,41,1
RP4,aFLX,4,5,43,1
RP4,aFLX,5,1,39,1
RP4,aFLX,5,2,39,1
RP4,aFLX,5,3,40,1
RP4,aFLX,5,4,43,1
RP4,aFLX,5,5,44,1
RP4,aFLX,6,1,29,1
RP4,aFLX,6,2,31,1
RP4,aFLX,6,3,40,1
RP4,aFLX,6,4,41,1
RP4,aFLX,6,5,41,1
RP4,aFLX,7,1,24,1
RP4,aFLX,7,2,27,1
RP4,aFLX,7,3,32,1
RP4,aFLX,7,4,36,1
RP4,aFLX,7,5,47,0
RP4,bCFM,1,1,37,1
RP4,bCFM,1,2,43,1
RP4,bCFM,1,3,43,1
RP4,bCFM,1,4,44,1
RP4,bCFM,1,5,45,1
RP4,bCFM,2,1,32,1
RP4,bCFM,2,2,40,1
RP4,bCFM,2,3,40,1
RP4,bCFM,2,4,41,1
RP4,bCFM,2,5,48,0
RP4,bCFM,3,1,23,1
RP4,bCFM,3,2,27,1
RP4,bCFM,3,3,32,1
RP4,bCFM,3,4,41,1
RP4,bCFM,3,5,44,1
RP4,bCFM,4,1,10,1
RP4,bCFM,4,2,27,1
RP4,bCFM,4,3,41,1
RP4,bCFM,4,4,41,1
RP4,bCFM,4,5,48,0
RP4,bCFM,5,1,26,1
RP4,bCFM,5,2,26,1
RP4,bCFM,5,3,26,1
RP4,bCFM,5,4,41,1
RP4,bCFM,5,5,48,0
RP4,bCFM,6,1,26,1
RP4,bCFM,6,2,26,1
RP4,bCFM,6,3,41,1
RP4,bCFM,6,4,44,1
RP4,bCFM,6,5,45,1
RP4,bCFM,7,1,27,1
RP4,bCFM,7,2,32,1
RP4,bCFM,7,3,37,1
RP4,bCFM,7,4,40,1
RP4,bCFM,7,5,40,1
RP4,cCwt,1,1,32,1
RP4,cCwt,1,2,33,1
RP4,cCwt,1,3,33,1
RP4,cCwt,1,4,35,1
RP4,cCwt,1,5,39,1
RP4,cCwt,2,1,37,1
RP4,cCwt,2,2,44,1
RP4,cCwt,2,3,45,1
RP4,cCwt,2,4,47,1
RP4,cCwt,2,5,47,1
RP4,cCwt,3,1,31,1
RP4,cCwt,3,2,33,1
RP4,cCwt,3,3,39,1
RP4,cCwt,3,4,40,1
RP4,cCwt,3,5,44,1
RP4,cCwt,4,1,25,1
RP4,cCwt,4,2,32,1
RP4,cCwt,4,3,33,1
RP4,cCwt,4,4,38,1
RP4,cCwt,4,5,38,1
RP4,cCwt,5,1,18,1
RP4,cCwt,5,2,27,1
RP4,cCwt,5,3,29,1
RP4,cCwt,5,4,38,1
RP4,cCwt,5,5,41,1
RP4,cCwt,6,1,30,1
RP4,cCwt,6,2,30,1
RP4,cCwt,6,3,38,1
RP4,cCwt,6,4,45,1
RP4,cCwt,6,5,46,1
RP4,cCwt,7,1,27,1
RP4,cCwt,7,2,41,1
RP4,cCwt,7,3,43,1
RP4,cCwt,7,4,43,1
RP4,cCwt,7,5,46,1
